,cloud_cover,time,pressure_kpa,temperature_c,wind_direction,wind_speed_kmh,date,datetime,month,hour,type_of_day
30,5,2017-03-19 06:00:00,1012,16,20,4,2017-03-19,06:00:00,3,6,7
31,5,2017-03-19 07:00:00,1012,18,109,5,2017-03-19,07:00:00,3,7,7
32,5,2017-03-19 08:00:00,1012,22,198,6,2017-03-19,08:00:00,3,8,7
33,5,2017-03-19 09:00:00,1012,24,287,7,2017-03-19,09:00:00,3,9,7
34,5,2017-03-19 10:00:00,1011,24,286,11,2017-03-19,10:00:00,3,10,7
35,5,2017-03-19 11:00:00,1010,24,284,14,2017-03-19,11:00:00,3,11,7
36,4,2017-03-19 12:00:00,1010,24,282,17,2017-03-19,12:00:00,3,12,7
37,5,2017-03-19 13:00:00,1009,24,285,15,2017-03-19,13:00:00,3,13,7
38,5,2017-03-19 14:00:00,1009,22,288,14,2017-03-19,14:00:00,3,14,7
39,5,2017-03-19 15:00:00,1009,22,291,12,2017-03-19,15:00:00,3,15,7
40,5,2017-03-19 16:00:00,1009,20,283,10,2017-03-19,16:00:00,3,16,7
41,4,2017-03-19 17:00:00,1010,16,275,9,2017-03-19,17:00:00,3,17,7
42,3,2017-03-19 18:00:00,1010,14,268,8,2017-03-19,18:00:00,3,18,7
43,2,2017-03-19 19:00:00,1010,14,256,7,2017-03-19,19:00:00,3,19,7
44,1,2017-03-19 20:00:00,1011,14,245,7,2017-03-19,20:00:00,3,20,7
45,0,2017-03-19 21:00:00,1011,12,234,6,2017-03-19,21:00:00,3,21,7
46,0,2017-03-19 22:00:00,1011,12,254,6,2017-03-19,22:00:00,3,22,7
47,0,2017-03-19 23:00:00,1010,12,274,7,2017-03-19,23:00:00,3,23,7
48,0,2017-03-20 00:00:00,1010,12,295,7,2017-03-20,00:00:00,3,0,1
49,0,2017-03-20 01:00:00,1010,10,202,6,2017-03-20,01:00:00,3,1,1
50,0,2017-03-20 02:00:00,1010,10,109,5,2017-03-20,02:00:00,3,2,1
51,0,2017-03-20 03:00:00,1010,10,17,5,2017-03-20,03:00:00,3,3,1
52,0,2017-03-20 04:00:00,1011,12,23,5,2017-03-20,04:00:00,3,4,1
53,0,2017-03-20 05:00:00,1011,14,30,5,2017-03-20,05:00:00,3,5,1
54,0,2017-03-20 06:00:00,1012,16,37,5,2017-03-20,06:00:00,3,6,1
55,0,2017-03-20 07:00:00,1012,18,120,5,2017-03-20,07:00:00,3,7,1
56,0,2017-03-20 08:00:00,1012,22,203,5,2017-03-20,08:00:00,3,8,1
57,0,2017-03-20 09:00:00,1012,24,287,5,2017-03-20,09:00:00,3,9,1
58,0,2017-03-20 10:00:00,1011,24,280,9,2017-03-20,10:00:00,3,10,1
59,0,2017-03-20 11:00:00,1011,24,274,13,2017-03-20,11:00:00,3,11,1
60,0,2017-03-20 12:00:00,1010,26,267,17,2017-03-20,12:00:00,3,12,1
61,0,2017-03-20 13:00:00,1010,24,261,15,2017-03-20,13:00:00,3,13,1
62,0,2017-03-20 14:00:00,1010,22,255,13,2017-03-20,14:00:00,3,14,1
63,0,2017-03-20 15:00:00,1010,20,248,11,2017-03-20,15:00:00,3,15,1
64,0,2017-03-20 16:00:00,1010,18,245,10,2017-03-20,16:00:00,3,16,1
65,0,2017-03-20 17:00:00,1011,16,242,8,2017-03-20,17:00:00,3,17,1
66,0,2017-03-20 18:00:00,1011,14,239,6,2017-03-20,18:00:00,3,18,1
67,0,2017-03-20 19:00:00,1011,14,229,7,2017-03-20,19:00:00,3,19,1
68,0,2017-03-20 20:00:00,1011,14,219,7,2017-03-20,20:00:00,3,20,1
69,0,2017-03-20 21:00:00,1012,12,209,7,2017-03-20,21:00:00,3,21,1
70,0,2017-03-20 22:00:00,1011,12,216,6,2017-03-20,22:00:00,3,22,1
71,0,2017-03-20 23:00:00,1011,12,223,5,2017-03-20,23:00:00,3,23,1
72,0,2017-03-21 00:00:00,1011,12,231,5,2017-03-21,00:00:00,3,0,2
73,1,2017-03-21 01:00:00,1011,10,202,4,2017-03-21,01:00:00,3,1,2
74,2,2017-03-21 02:00:00,1011,10,173,3,2017-03-21,02:00:00,3,2,2
75,4,2017-03-21 03:00:00,1011,10,144,2,2017-03-21,03:00:00,3,3,2
76,2,2017-03-21 04:00:00,1011,12,143,2,2017-03-21,04:00:00,3,4,2
77,1,2017-03-21 05:00:00,1012,14,141,3,2017-03-21,05:00:00,3,5,2
78,0,2017-03-21 06:00:00,1012,16,140,3,2017-03-21,06:00:00,3,6,2
79,0,2017-03-21 07:00:00,1012,18,176,4,2017-03-21,07:00:00,3,7,2
80,0,2017-03-21 08:00:00,1012,20,212,6,2017-03-21,08:00:00,3,8,2
81,0,2017-03-21 09:00:00,1012,24,248,8,2017-03-21,09:00:00,3,9,2
82,0,2017-03-21 10:00:00,1012,24,251,11,2017-03-21,10:00:00,3,10,2
83,0,2017-03-21 11:00:00,1011,24,254,15,2017-03-21,11:00:00,3,11,2
84,0,2017-03-21 12:00:00,1010,24,257,18,2017-03-21,12:00:00,3,12,2
85,0,2017-03-21 13:00:00,1010,22,254,16,2017-03-21,13:00:00,3,13,2
86,0,2017-03-21 14:00:00,1010,22,251,15,2017-03-21,14:00:00,3,14,2
87,0,2017-03-21 15:00:00,1010,20,248,13,2017-03-21,15:00:00,3,15,2
88,0,2017-03-21 16:00:00,1011,18,243,12,2017-03-21,16:00:00,3,16,2
89,0,2017-03-21 17:00:00,1011,16,239,11,2017-03-21,17:00:00,3,17,2
90,0,2017-03-21 18:00:00,1012,14,235,10,2017-03-21,18:00:00,3,18,2
91,32,2017-03-21 19:00:00,1012,14,226,8,2017-03-21,19:00:00,3,19,2
92,63,2017-03-21 20:00:00,1012,14,216,7,2017-03-21,20:00:00,3,20,2
93,95,2017-03-21 21:00:00,1012,14,207,5,2017-03-21,21:00:00,3,21,2
94,83,2017-03-21 22:00:00,1012,14,201,6,2017-03-21,22:00:00,3,22,2
95,72,2017-03-21 23:00:00,1011,14,194,6,2017-03-21,23:00:00,3,23,2
96,61,2017-03-22 00:00:00,1011,12,188,7,2017-03-22,00:00:00,3,0,3
97,61,2017-03-22 01:00:00,1011,12,178,7,2017-03-22,01:00:00,3,1,3
98,61,2017-03-22 02:00:00,1010,12,168,7,2017-03-22,02:00:00,3,2,3
99,61,2017-03-22 03:00:00,1010,12,158,7,2017-03-22,03:00:00,3,3,3
100,48,2017-03-22 04:00:00,1011,12,161,7,2017-03-22,04:00:00,3,4,3
101,34,2017-03-22 05:00:00,1011,14,164,7,2017-03-22,05:00:00,3,5,3
102,20,2017-03-22 06:00:00,1011,14,167,8,2017-03-22,06:00:00,3,6,3
103,14,2017-03-22 07:00:00,1012,18,193,8,2017-03-22,07:00:00,3,7,3
104,7,2017-03-22 08:00:00,1012,20,219,8,2017-03-22,08:00:00,3,8,3
105,0,2017-03-22 09:00:00,1012,22,246,9,2017-03-22,09:00:00,3,9,3
106,0,2017-03-22 10:00:00,1011,22,251,12,2017-03-22,10:00:00,3,10,3
107,0,2017-03-22 11:00:00,1010,24,257,15,2017-03-22,11:00:00,3,11,3
108,0,2017-03-22 12:00:00,1010,24,263,18,2017-03-22,12:00:00,3,12,3
109,0,2017-03-22 13:00:00,1009,22,260,16,2017-03-22,13:00:00,3,13,3
110,0,2017-03-22 14:00:00,1009,20,257,14,2017-03-22,14:00:00,3,14,3
111,0,2017-03-22 15:00:00,1009,20,254,12,2017-03-22,15:00:00,3,15,3
112,0,2017-03-22 16:00:00,1009,18,245,11,2017-03-22,16:00:00,3,16,3
113,0,2017-03-22 17:00:00,1010,16,235,10,2017-03-22,17:00:00,3,17,3
114,0,2017-03-22 18:00:00,1010,14,225,9,2017-03-22,18:00:00,3,18,3
115,22,2017-03-22 19:00:00,1011,14,208,9,2017-03-22,19:00:00,3,19,3
116,45,2017-03-22 20:00:00,1011,14,192,8,2017-03-22,20:00:00,3,20,3
117,67,2017-03-22 21:00:00,1011,12,175,8,2017-03-22,21:00:00,3,21,3
118,67,2017-03-22 22:00:00,1011,12,180,9,2017-03-22,22:00:00,3,22,3
119,67,2017-03-22 23:00:00,1010,12,185,10,2017-03-22,23:00:00,3,23,3
120,66,2017-03-23 00:00:00,1010,12,190,10,2017-03-23,00:00:00,3,0,4
121,68,2017-03-23 01:00:00,1010,12,184,10,2017-03-23,01:00:00,3,1,4
122,70,2017-03-23 02:00:00,1010,12,179,9,2017-03-23,02:00:00,3,2,4
123,72,2017-03-23 03:00:00,1010,12,174,9,2017-03-23,03:00:00,3,3,4
124,58,2017-03-23 04:00:00,1010,12,169,9,2017-03-23,04:00:00,3,4,4
125,44,2017-03-23 05:00:00,1010,14,164,9,2017-03-23,05:00:00,3,5,4
126,30,2017-03-23 06:00:00,1011,14,159,9,2017-03-23,06:00:00,3,6,4
127,20,2017-03-23 07:00:00,1011,18,183,9,2017-03-23,07:00:00,3,7,4
128,10,2017-03-23 08:00:00,1011,20,208,8,2017-03-23,08:00:00,3,8,4
129,0,2017-03-23 09:00:00,1011,22,233,8,2017-03-23,09:00:00,3,9,4
130,0,2017-03-23 10:00:00,1010,24,243,12,2017-03-23,10:00:00,3,10,4
131,0,2017-03-23 11:00:00,1010,24,252,15,2017-03-23,11:00:00,3,11,4
132,0,2017-03-23 12:00:00,1009,24,262,18,2017-03-23,12:00:00,3,12,4
133,0,2017-03-23 13:00:00,1009,22,270,16,2017-03-23,13:00:00,3,13,4
134,0,2017-03-23 14:00:00,1009,20,279,14,2017-03-23,14:00:00,3,14,4
135,0,2017-03-23 15:00:00,1008,20,287,13,2017-03-23,15:00:00,3,15,4
136,0,2017-03-23 16:00:00,1009,18,287,11,2017-03-23,16:00:00,3,16,4
137,0,2017-03-23 17:00:00,1010,16,288,9,2017-03-23,17:00:00,3,17,4
138,0,2017-03-23 18:00:00,1010,14,288,8,2017-03-23,18:00:00,3,18,4
139,0,2017-03-23 19:00:00,1010,12,285,6,2017-03-23,19:00:00,3,19,4
140,0,2017-03-23 20:00:00,1011,12,281,5,2017-03-23,20:00:00,3,20,4
141,0,2017-03-23 21:00:00,1011,12,278,4,2017-03-23,21:00:00,3,21,4
142,0,2017-03-23 22:00:00,1011,12,281,4,2017-03-23,22:00:00,3,22,4
143,0,2017-03-23 23:00:00,1010,10,284,5,2017-03-23,23:00:00,3,23,4
144,0,2017-03-24 00:00:00,1010,10,286,5,2017-03-24,00:00:00,3,0,5
145,25,2017-03-24 01:00:00,1010,10,304,5,2017-03-24,01:00:00,3,1,5
146,51,2017-03-24 02:00:00,1010,10,322,5,2017-03-24,02:00:00,3,2,5
147,76,2017-03-24 03:00:00,1011,10,340,5,2017-03-24,03:00:00,3,3,5
148,59,2017-03-24 04:00:00,1011,10,344,7,2017-03-24,04:00:00,3,4,5
149,43,2017-03-24 05:00:00,1012,12,347,9,2017-03-24,05:00:00,3,5,5
150,26,2017-03-24 06:00:00,1012,14,351,10,2017-03-24,06:00:00,3,6,5
151,17,2017-03-24 07:00:00,1012,16,338,10,2017-03-24,07:00:00,3,7,5
152,9,2017-03-24 08:00:00,1012,18,325,11,2017-03-24,08:00:00,3,8,5
153,0,2017-03-24 09:00:00,1012,22,312,11,2017-03-24,09:00:00,3,9,5
154,0,2017-03-24 10:00:00,1011,22,308,14,2017-03-24,10:00:00,3,10,5
155,0,2017-03-24 11:00:00,1011,22,303,17,2017-03-24,11:00:00,3,11,5
156,0,2017-03-24 12:00:00,1010,24,298,19,2017-03-24,12:00:00,3,12,5
157,0,2017-03-24 13:00:00,1010,22,302,18,2017-03-24,13:00:00,3,13,5
158,0,2017-03-24 14:00:00,1010,20,306,16,2017-03-24,14:00:00,3,14,5
159,0,2017-03-24 15:00:00,1010,20,310,14,2017-03-24,15:00:00,3,15,5
160,0,2017-03-24 16:00:00,1010,18,310,13,2017-03-24,16:00:00,3,16,5
161,0,2017-03-24 17:00:00,1010,14,311,12,2017-03-24,17:00:00,3,17,5
162,0,2017-03-24 18:00:00,1011,12,311,10,2017-03-24,18:00:00,3,18,5
163,0,2017-03-24 19:00:00,1011,12,311,10,2017-03-24,19:00:00,3,19,5
164,0,2017-03-24 20:00:00,1011,12,311,9,2017-03-24,20:00:00,3,20,5
165,0,2017-03-24 21:00:00,1011,10,311,9,2017-03-24,21:00:00,3,21,5
166,0,2017-03-24 22:00:00,1011,10,316,9,2017-03-24,22:00:00,3,22,5
167,0,2017-03-24 23:00:00,1011,10,322,9,2017-03-24,23:00:00,3,23,5
168,0,2017-03-25 00:00:00,1010,8,328,10,2017-03-25,00:00:00,3,0,6
169,0,2017-03-25 01:00:00,1010,8,219,10,2017-03-25,01:00:00,3,1,6
170,0,2017-03-25 02:00:00,1010,8,111,9,2017-03-25,02:00:00,3,2,6
171,0,2017-03-25 03:00:00,1010,8,2,9,2017-03-25,03:00:00,3,3,6
172,0,2017-03-25 04:00:00,1011,10,4,10,2017-03-25,04:00:00,3,4,6
173,0,2017-03-25 05:00:00,1011,10,5,10,2017-03-25,05:00:00,3,5,6
174,0,2017-03-25 06:00:00,1012,12,6,11,2017-03-25,06:00:00,3,6,6
175,0,2017-03-25 07:00:00,1012,16,118,9,2017-03-25,07:00:00,3,7,6
176,0,2017-03-25 08:00:00,1012,20,230,8,2017-03-25,08:00:00,3,8,6
177,0,2017-03-25 09:00:00,1012,24,342,6,2017-03-25,09:00:00,3,9,6
178,0,2017-03-25 10:00:00,1011,24,325,10,2017-03-25,10:00:00,3,10,6
179,0,2017-03-25 11:00:00,1010,26,308,14,2017-03-25,11:00:00,3,11,6
180,0,2017-03-25 12:00:00,1009,26,292,17,2017-03-25,12:00:00,3,12,6
181,0,2017-03-25 13:00:00,1009,24,302,17,2017-03-25,13:00:00,3,13,6
182,0,2017-03-25 14:00:00,1009,24,312,17,2017-03-25,14:00:00,3,14,6
183,0,2017-03-25 15:00:00,1008,22,321,16,2017-03-25,15:00:00,3,15,6
184,0,2017-03-25 16:00:00,1009,20,325,14,2017-03-25,16:00:00,3,16,6
185,0,2017-03-25 17:00:00,1009,18,329,13,2017-03-25,17:00:00,3,17,6
186,0,2017-03-25 18:00:00,1010,16,333,11,2017-03-25,18:00:00,3,18,6
187,0,2017-03-25 19:00:00,1010,16,330,9,2017-03-25,19:00:00,3,19,6
188,0,2017-03-25 20:00:00,1011,14,328,8,2017-03-25,20:00:00,3,20,6
189,0,2017-03-25 21:00:00,1011,14,326,7,2017-03-25,21:00:00,3,21,6
190,0,2017-03-25 22:00:00,1010,14,330,9,2017-03-25,22:00:00,3,22,6
191,0,2017-03-25 23:00:00,1010,12,333,10,2017-03-25,23:00:00,3,23,6
192,0,2017-03-26 00:00:00,1010,12,337,12,2017-03-26,00:00:00,3,0,7
193,0,2017-03-26 01:00:00,1010,12,344,12,2017-03-26,01:00:00,3,1,7
194,0,2017-03-26 02:00:00,1010,12,351,12,2017-03-26,02:00:00,3,2,7
195,0,2017-03-26 03:00:00,1009,10,359,13,2017-03-26,03:00:00,3,3,7
196,0,2017-03-26 04:00:00,1010,12,242,12,2017-03-26,04:00:00,3,4,7
197,0,2017-03-26 05:00:00,1010,16,126,12,2017-03-26,05:00:00,3,5,7
198,0,2017-03-26 06:00:00,1011,18,9,12,2017-03-26,06:00:00,3,6,7
199,0,2017-03-26 07:00:00,1011,22,113,9,2017-03-26,07:00:00,3,7,7
200,0,2017-03-26 08:00:00,1011,26,217,7,2017-03-26,08:00:00,3,8,7
201,0,2017-03-26 09:00:00,1011,30,321,5,2017-03-26,09:00:00,3,9,7
202,0,2017-03-26 10:00:00,1010,30,311,10,2017-03-26,10:00:00,3,10,7
203,0,2017-03-26 11:00:00,1009,30,301,14,2017-03-26,11:00:00,3,11,7
204,0,2017-03-26 12:00:00,1008,30,292,18,2017-03-26,12:00:00,3,12,7
205,0,2017-03-26 13:00:00,1008,30,300,17,2017-03-26,13:00:00,3,13,7
206,0,2017-03-26 14:00:00,1007,28,308,16,2017-03-26,14:00:00,3,14,7
207,0,2017-03-26 15:00:00,1007,26,316,15,2017-03-26,15:00:00,3,15,7
208,0,2017-03-26 16:00:00,1007,24,320,14,2017-03-26,16:00:00,3,16,7
209,0,2017-03-26 17:00:00,1008,22,324,13,2017-03-26,17:00:00,3,17,7
210,0,2017-03-26 18:00:00,1008,20,327,12,2017-03-26,18:00:00,3,18,7
211,0,2017-03-26 19:00:00,1009,18,219,10,2017-03-26,19:00:00,3,19,7
212,0,2017-03-26 20:00:00,1009,18,111,8,2017-03-26,20:00:00,3,20,7
213,0,2017-03-26 21:00:00,1009,16,4,6,2017-03-26,21:00:00,3,21,7
214,0,2017-03-26 22:00:00,1009,16,109,6,2017-03-26,22:00:00,3,22,7
215,0,2017-03-26 23:00:00,1009,16,215,7,2017-03-26,23:00:00,3,23,7
216,0,2017-03-27 00:00:00,1009,14,320,7,2017-03-27,00:00:00,3,0,1
217,0,2017-03-27 01:00:00,1008,14,231,6,2017-03-27,01:00:00,3,1,1
218,0,2017-03-27 02:00:00,1008,14,142,5,2017-03-27,02:00:00,3,2,1
219,0,2017-03-27 03:00:00,1008,12,52,3,2017-03-27,03:00:00,3,3,1
220,0,2017-03-27 04:00:00,1009,16,82,4,2017-03-27,04:00:00,3,4,1
221,0,2017-03-27 05:00:00,1010,18,113,5,2017-03-27,05:00:00,3,5,1
222,0,2017-03-27 06:00:00,1010,20,143,6,2017-03-27,06:00:00,3,6,1
223,0,2017-03-27 07:00:00,1010,22,186,7,2017-03-27,07:00:00,3,7,1
224,0,2017-03-27 08:00:00,1010,26,228,8,2017-03-27,08:00:00,3,8,1
225,0,2017-03-27 09:00:00,1010,28,271,10,2017-03-27,09:00:00,3,9,1
226,0,2017-03-27 10:00:00,1009,28,279,13,2017-03-27,10:00:00,3,10,1
227,0,2017-03-27 11:00:00,1008,28,287,16,2017-03-27,11:00:00,3,11,1
228,0,2017-03-27 12:00:00,1007,28,295,20,2017-03-27,12:00:00,3,12,1
229,0,2017-03-27 13:00:00,1007,28,301,18,2017-03-27,13:00:00,3,13,1
230,0,2017-03-27 14:00:00,1007,28,307,16,2017-03-27,14:00:00,3,14,1
231,0,2017-03-27 15:00:00,1006,28,313,14,2017-03-27,15:00:00,3,15,1
232,0,2017-03-27 16:00:00,1007,24,319,12,2017-03-27,16:00:00,3,16,1
233,0,2017-03-27 17:00:00,1007,22,324,10,2017-03-27,17:00:00,3,17,1
234,0,2017-03-27 18:00:00,1008,20,329,9,2017-03-27,18:00:00,3,18,1
235,0,2017-03-27 19:00:00,1008,20,282,8,2017-03-27,19:00:00,3,19,1
236,0,2017-03-27 20:00:00,1009,18,235,8,2017-03-27,20:00:00,3,20,1
237,0,2017-03-27 21:00:00,1009,18,188,8,2017-03-27,21:00:00,3,21,1
238,0,2017-03-27 22:00:00,1009,16,184,8,2017-03-27,22:00:00,3,22,1
239,0,2017-03-27 23:00:00,1009,16,179,7,2017-03-27,23:00:00,3,23,1
240,0,2017-03-28 00:00:00,1008,14,174,7,2017-03-28,00:00:00,3,0,2
241,0,2017-03-28 01:00:00,1008,14,179,7,2017-03-28,01:00:00,3,1,2
242,0,2017-03-28 02:00:00,1008,12,184,7,2017-03-28,02:00:00,3,2,2
243,0,2017-03-28 03:00:00,1008,12,189,8,2017-03-28,03:00:00,3,3,2
244,0,2017-03-28 04:00:00,1009,14,180,7,2017-03-28,04:00:00,3,4,2
245,0,2017-03-28 05:00:00,1009,16,172,7,2017-03-28,05:00:00,3,5,2
246,0,2017-03-28 06:00:00,1010,18,163,7,2017-03-28,06:00:00,3,6,2
247,0,2017-03-28 07:00:00,1010,22,206,6,2017-03-28,07:00:00,3,7,2
248,0,2017-03-28 08:00:00,1010,24,248,6,2017-03-28,08:00:00,3,8,2
249,0,2017-03-28 09:00:00,1010,28,291,5,2017-03-28,09:00:00,3,9,2
250,0,2017-03-28 10:00:00,1010,28,290,10,2017-03-28,10:00:00,3,10,2
251,0,2017-03-28 11:00:00,1009,28,289,14,2017-03-28,11:00:00,3,11,2
252,0,2017-03-28 12:00:00,1008,30,288,18,2017-03-28,12:00:00,3,12,2
253,0,2017-03-28 13:00:00,1007,28,292,17,2017-03-28,13:00:00,3,13,2
254,0,2017-03-28 14:00:00,1007,26,297,17,2017-03-28,14:00:00,3,14,2
255,0,2017-03-28 15:00:00,1007,26,301,16,2017-03-28,15:00:00,3,15,2
256,0,2017-03-28 16:00:00,1007,24,303,13,2017-03-28,16:00:00,3,16,2
257,0,2017-03-28 17:00:00,1008,22,306,10,2017-03-28,17:00:00,3,17,2
258,0,2017-03-28 18:00:00,1008,18,308,8,2017-03-28,18:00:00,3,18,2
259,0,2017-03-28 19:00:00,1009,18,264,9,2017-03-28,19:00:00,3,19,2
260,0,2017-03-28 20:00:00,1010,16,220,10,2017-03-28,20:00:00,3,20,2
261,0,2017-03-28 21:00:00,1010,16,176,11,2017-03-28,21:00:00,3,21,2
262,0,2017-03-28 22:00:00,1010,14,178,9,2017-03-28,22:00:00,3,22,2
263,0,2017-03-28 23:00:00,1009,14,179,8,2017-03-28,23:00:00,3,23,2
264,0,2017-03-29 00:00:00,1009,12,181,6,2017-03-29,00:00:00,3,0,3
265,14,2017-03-29 01:00:00,1009,12,183,6,2017-03-29,01:00:00,3,1,3
266,28,2017-03-29 02:00:00,1009,10,184,5,2017-03-29,02:00:00,3,2,3
267,42,2017-03-29 03:00:00,1009,10,186,4,2017-03-29,03:00:00,3,3,3
268,28,2017-03-29 04:00:00,1010,12,160,4,2017-03-29,04:00:00,3,4,3
269,14,2017-03-29 05:00:00,1010,14,134,3,2017-03-29,05:00:00,3,5,3
270,0,2017-03-29 06:00:00,1011,16,108,3,2017-03-29,06:00:00,3,6,3
271,0,2017-03-29 07:00:00,1011,20,149,3,2017-03-29,07:00:00,3,7,3
272,0,2017-03-29 08:00:00,1011,24,189,4,2017-03-29,08:00:00,3,8,3
273,0,2017-03-29 09:00:00,1011,28,230,5,2017-03-29,09:00:00,3,9,3
274,0,2017-03-29 10:00:00,1010,28,244,9,2017-03-29,10:00:00,3,10,3
275,0,2017-03-29 11:00:00,1009,28,259,14,2017-03-29,11:00:00,3,11,3
276,0,2017-03-29 12:00:00,1008,28,274,18,2017-03-29,12:00:00,3,12,3
277,0,2017-03-29 13:00:00,1008,28,280,17,2017-03-29,13:00:00,3,13,3
278,0,2017-03-29 14:00:00,1007,26,285,16,2017-03-29,14:00:00,3,14,3
279,0,2017-03-29 15:00:00,1007,26,291,15,2017-03-29,15:00:00,3,15,3
280,0,2017-03-29 16:00:00,1007,22,294,12,2017-03-29,16:00:00,3,16,3
281,0,2017-03-29 17:00:00,1008,20,298,9,2017-03-29,17:00:00,3,17,3
282,0,2017-03-29 18:00:00,1008,18,302,6,2017-03-29,18:00:00,3,18,3
283,0,2017-03-29 19:00:00,1009,18,267,5,2017-03-29,19:00:00,3,19,3
284,0,2017-03-29 20:00:00,1009,16,232,3,2017-03-29,20:00:00,3,20,3
285,0,2017-03-29 21:00:00,1010,16,198,2,2017-03-29,21:00:00,3,21,3
286,0,2017-03-29 22:00:00,1009,16,212,2,2017-03-29,22:00:00,3,22,3
287,0,2017-03-29 23:00:00,1009,14,227,2,2017-03-29,23:00:00,3,23,3
288,0,2017-03-30 00:00:00,1009,14,241,2,2017-03-30,00:00:00,3,0,4
289,0,2017-03-30 01:00:00,1009,14,191,3,2017-03-30,01:00:00,3,1,4
290,0,2017-03-30 02:00:00,1009,12,140,3,2017-03-30,02:00:00,3,2,4
291,0,2017-03-30 03:00:00,1009,12,90,3,2017-03-30,03:00:00,3,3,4
292,0,2017-03-30 04:00:00,1009,16,78,3,2017-03-30,04:00:00,3,4,4
293,0,2017-03-30 05:00:00,1010,18,67,4,2017-03-30,05:00:00,3,5,4
294,0,2017-03-30 06:00:00,1010,22,55,4,2017-03-30,06:00:00,3,6,4
295,0,2017-03-30 07:00:00,1010,24,132,6,2017-03-30,07:00:00,3,7,4
296,0,2017-03-30 08:00:00,1010,28,209,8,2017-03-30,08:00:00,3,8,4
297,0,2017-03-30 09:00:00,1010,30,286,9,2017-03-30,09:00:00,3,9,4
298,0,2017-03-30 10:00:00,1010,30,284,12,2017-03-30,10:00:00,3,10,4
299,0,2017-03-30 11:00:00,1009,32,281,16,2017-03-30,11:00:00,3,11,4
300,0,2017-03-30 12:00:00,1008,32,278,19,2017-03-30,12:00:00,3,12,4
301,0,2017-03-30 13:00:00,1008,30,273,18,2017-03-30,13:00:00,3,13,4
302,0,2017-03-30 14:00:00,1007,28,268,16,2017-03-30,14:00:00,3,14,4
303,0,2017-03-30 15:00:00,1007,26,263,15,2017-03-30,15:00:00,3,15,4
304,0,2017-03-30 16:00:00,1007,24,250,12,2017-03-30,16:00:00,3,16,4
305,0,2017-03-30 17:00:00,1008,22,237,10,2017-03-30,17:00:00,3,17,4
306,0,2017-03-30 18:00:00,1009,18,224,7,2017-03-30,18:00:00,3,18,4
307,0,2017-03-30 19:00:00,1009,18,213,8,2017-03-30,19:00:00,3,19,4
