cloud_cover,time,pressure_kpa,Temperature (C),wind_direction_deg,wind_speed_kmh
61,22/3/2017 0:00,1011,12,188,7
61,22/3/2017 1:00,1011,12,178,7
61,22/3/2017 2:00,1010,12,168,7
61,22/3/2017 3:00,1010,12,158,7
48,22/3/2017 4:00,1011,12,161,7
34,22/3/2017 5:00,1011,14,164,7
20,22/3/2017 6:00,1011,14,167,8
14,22/3/2017 7:00,1012,18,193,8
7,22/3/2017 8:00,1012,20,219,8
0,22/3/2017 9:00,1012,22,246,9
0,22/3/2017 10:00,1011,22,251,12
0,22/3/2017 11:00,1010,24,257,15
0,22/3/2017 12:00,1010,24,263,18
0,22/3/2017 13:00,1009,22,260,16
0,22/3/2017 14:00,1009,20,257,14
0,22/3/2017 15:00,1009,20,254,12
0,22/3/2017 16:00,1009,18,245,11
0,22/3/2017 17:00,1010,16,235,10
0,22/3/2017 18:00,1010,14,225,9
22,22/3/2017 19:00,1011,14,208,9
45,22/3/2017 20:00,1011,14,192,8
67,22/3/2017 21:00,1011,12,175,8
67,22/3/2017 22:00,1011,12,180,9
67,22/3/2017 23:00,1010,12,185,10
66,23/3/2017 0:00,1010,12,190,10
68,23/3/2017 1:00,1010,12,184,10
70,23/3/2017 2:00,1010,12,179,9
72,23/3/2017 3:00,1010,12,174,9
58,23/3/2017 4:00,1010,12,169,9
44,23/3/2017 5:00,1010,14,164,9
30,23/3/2017 6:00,1011,14,159,9
20,23/3/2017 7:00,1011,18,183,9
10,23/3/2017 8:00,1011,20,208,8
0,23/3/2017 9:00,1011,22,233,8
0,23/3/2017 10:00,1010,24,243,12
0,23/3/2017 11:00,1010,24,252,15
0,23/3/2017 12:00,1009,24,262,18
0,23/3/2017 13:00,1009,22,270,16
0,23/3/2017 14:00,1009,20,279,14
0,23/3/2017 15:00,1008,20,287,13
0,23/3/2017 16:00,1009,18,287,11
0,23/3/2017 17:00,1010,16,288,9
0,23/3/2017 18:00,1010,14,288,8
0,23/3/2017 19:00,1010,12,285,6
0,23/3/2017 20:00,1011,12,281,5
0,23/3/2017 21:00,1011,12,278,4
0,23/3/2017 22:00,1011,12,281,4
0,23/3/2017 23:00,1010,10,284,5
0,24/3/2017 0:00,1010,10,286,5
25,24/3/2017 1:00,1010,10,304,5
51,24/3/2017 2:00,1010,10,322,5
76,24/3/2017 3:00,1011,10,340,5
59,24/3/2017 4:00,1011,10,344,7
43,24/3/2017 5:00,1012,12,347,9
26,24/3/2017 6:00,1012,14,351,10
17,24/3/2017 7:00,1012,16,338,10
9,24/3/2017 8:00,1012,18,325,11
0,24/3/2017 9:00,1012,22,312,11
0,24/3/2017 10:00,1011,22,308,14
0,24/3/2017 11:00,1011,22,303,17
0,24/3/2017 12:00,1010,24,298,19
0,24/3/2017 13:00,1010,22,302,18
0,24/3/2017 14:00,1010,20,306,16
0,24/3/2017 15:00,1010,20,310,14
0,24/3/2017 16:00,1010,18,310,13
0,24/3/2017 17:00,1010,14,311,12
0,24/3/2017 18:00,1011,12,311,10
0,24/3/2017 19:00,1011,12,311,10
0,24/3/2017 20:00,1011,12,311,9
0,24/3/2017 21:00,1011,10,311,9
0,24/3/2017 22:00,1011,10,316,9
0,24/3/2017 23:00,1011,10,322,9
0,25/3/2017 0:00,1010,8,328,10
0,25/3/2017 1:00,1010,8,219,10
0,25/3/2017 2:00,1010,8,111,9
0,25/3/2017 3:00,1010,8,2,9
0,25/3/2017 4:00,1011,10,4,10
0,25/3/2017 5:00,1011,10,5,10
0,25/3/2017 6:00,1012,12,6,11
0,25/3/2017 7:00,1012,16,118,9
0,25/3/2017 8:00,1012,20,230,8
0,25/3/2017 9:00,1012,24,342,6
0,25/3/2017 10:00,1011,24,325,10
0,25/3/2017 11:00,1010,26,308,14
0,25/3/2017 12:00,1009,26,292,17
0,25/3/2017 13:00,1009,24,302,17
0,25/3/2017 14:00,1009,24,312,17
0,25/3/2017 15:00,1008,22,321,16
0,25/3/2017 16:00,1009,20,325,14
0,25/3/2017 17:00,1009,18,329,13
0,25/3/2017 18:00,1010,16,333,11
0,25/3/2017 19:00,1010,16,330,9
0,25/3/2017 20:00,1011,14,328,8
0,25/3/2017 21:00,1011,14,326,7
0,25/3/2017 22:00,1010,14,330,9
0,25/3/2017 23:00,1010,12,333,10
0,26/3/2017 0:00,1010,12,337,12
0,26/3/2017 1:00,1010,12,344,12
0,26/3/2017 2:00,1010,12,351,12
0,26/3/2017 3:00,1009,10,359,13
0,26/3/2017 4:00,1010,12,242,12
0,26/3/2017 5:00,1010,16,126,12
0,26/3/2017 6:00,1011,18,9,12
0,26/3/2017 7:00,1011,22,113,9
0,26/3/2017 8:00,1011,26,217,7
0,26/3/2017 9:00,1011,30,321,5
0,26/3/2017 10:00,1010,30,311,10
0,26/3/2017 11:00,1009,30,301,14
0,26/3/2017 12:00,1008,30,292,18
0,26/3/2017 13:00,1008,30,300,17
0,26/3/2017 14:00,1007,28,308,16
0,26/3/2017 15:00,1007,26,316,15
0,26/3/2017 16:00,1007,24,320,14
0,26/3/2017 17:00,1008,22,324,13
0,26/3/2017 18:00,1008,20,327,12
0,26/3/2017 19:00,1009,18,219,10
0,26/3/2017 20:00,1009,18,111,8
0,26/3/2017 21:00,1009,16,4,6
0,26/3/2017 22:00,1009,16,109,6
0,26/3/2017 23:00,1009,16,215,7
0,27/3/2017 0:00,1009,14,320,7
0,27/3/2017 1:00,1008,14,231,6
0,27/3/2017 2:00,1008,14,142,5
0,27/3/2017 3:00,1008,12,52,3
0,27/3/2017 4:00,1009,16,82,4
0,27/3/2017 5:00,1010,18,113,5
0,27/3/2017 6:00,1010,20,143,6
0,27/3/2017 7:00,1010,22,186,7
0,27/3/2017 8:00,1010,26,228,8
0,27/3/2017 9:00,1010,28,271,10
0,27/3/2017 10:00,1009,28,279,13
0,27/3/2017 11:00,1008,28,287,16
0,27/3/2017 12:00,1007,28,295,20
0,27/3/2017 13:00,1007,28,301,18
0,27/3/2017 14:00,1007,28,307,16
0,27/3/2017 15:00,1006,28,313,14
0,27/3/2017 16:00,1007,24,319,12
0,27/3/2017 17:00,1007,22,324,10
0,27/3/2017 18:00,1008,20,329,9
0,27/3/2017 19:00,1008,20,282,8
0,27/3/2017 20:00,1009,18,235,8
0,27/3/2017 21:00,1009,18,188,8
0,27/3/2017 22:00,1009,16,184,8
0,27/3/2017 23:00,1009,16,179,7
0,28/3/2017 0:00,1008,14,174,7
0,28/3/2017 1:00,1008,14,179,7
0,28/3/2017 2:00,1008,12,184,7
0,28/3/2017 3:00,1008,12,189,8
0,28/3/2017 4:00,1009,14,180,7
0,28/3/2017 5:00,1009,16,172,7
0,28/3/2017 6:00,1010,18,163,7
0,28/3/2017 7:00,1010,22,206,6
0,28/3/2017 8:00,1010,24,248,6
0,28/3/2017 9:00,1010,28,291,5
0,28/3/2017 10:00,1010,28,290,10
0,28/3/2017 11:00,1009,28,289,14
0,28/3/2017 12:00,1008,30,288,18
0,28/3/2017 13:00,1007,28,292,17
0,28/3/2017 14:00,1007,26,297,17
0,28/3/2017 15:00,1007,26,301,16
0,28/3/2017 16:00,1007,24,303,13
0,28/3/2017 17:00,1008,22,306,10
0,28/3/2017 18:00,1008,18,308,8
0,28/3/2017 19:00,1009,18,264,9
0,28/3/2017 20:00,1010,16,220,10
0,28/3/2017 21:00,1010,16,176,11
0,28/3/2017 22:00,1010,14,178,9
0,28/3/2017 23:00,1009,14,179,8
0,29/3/2017 0:00,1009,12,181,6
14,29/3/2017 1:00,1009,12,183,6
28,29/3/2017 2:00,1009,10,184,5
42,29/3/2017 3:00,1009,10,186,4
28,29/3/2017 4:00,1010,12,160,4
14,29/3/2017 5:00,1010,14,134,3
0,29/3/2017 6:00,1011,16,108,3
0,29/3/2017 7:00,1011,20,149,3
0,29/3/2017 8:00,1011,24,189,4
0,29/3/2017 9:00,1011,28,230,5
0,29/3/2017 10:00,1010,28,244,9
0,29/3/2017 11:00,1009,28,259,14
0,29/3/2017 12:00,1008,28,274,18
0,29/3/2017 13:00,1008,28,280,17
0,29/3/2017 14:00,1007,26,285,16
0,29/3/2017 15:00,1007,26,291,15
0,29/3/2017 16:00,1007,22,294,12
0,29/3/2017 17:00,1008,20,298,9
0,29/3/2017 18:00,1008,18,302,6
0,29/3/2017 19:00,1009,18,267,5
0,29/3/2017 20:00,1009,16,232,3
0,29/3/2017 21:00,1010,16,198,2
0,29/3/2017 22:00,1009,16,212,2
0,29/3/2017 23:00,1009,14,227,2
0,30/3/2017 0:00,1009,14,241,2
0,30/3/2017 1:00,1009,14,191,3
0,30/3/2017 2:00,1009,12,140,3
0,30/3/2017 3:00,1009,12,90,3
0,30/3/2017 4:00,1009,16,78,3
0,30/3/2017 5:00,1010,18,67,4
0,30/3/2017 6:00,1010,22,55,4
0,30/3/2017 7:00,1010,24,132,6
0,30/3/2017 8:00,1010,28,209,8
0,30/3/2017 9:00,1010,30,286,9
0,30/3/2017 10:00,1010,30,284,12
0,30/3/2017 11:00,1009,32,281,16
0,30/3/2017 12:00,1008,32,278,19
0,30/3/2017 13:00,1008,30,273,18
0,30/3/2017 14:00,1007,28,268,16
0,30/3/2017 15:00,1007,26,263,15
0,30/3/2017 16:00,1007,24,250,12
0,30/3/2017 17:00,1008,22,237,10
0,30/3/2017 18:00,1009,18,224,7
0,30/3/2017 19:00,1009,18,213,8
0,30/3/2017 20:00,1010,18,201,8
0,30/3/2017 21:00,1010,16,190,8
0,30/3/2017 22:00,1010,16,190,8
0,30/3/2017 23:00,1010,14,190,8
0,31/3/2017 0:00,1009,14,191,8
0,31/3/2017 1:00,1009,14,169,6
0,31/3/2017 2:00,1009,12,147,5
0,31/3/2017 3:00,1009,12,125,3
0,31/3/2017 4:00,1009,14,126,3
0,31/3/2017 5:00,1010,16,126,4
0,31/3/2017 6:00,1010,18,126,4
0,31/3/2017 7:00,1010,20,164,6
0,31/3/2017 8:00,1010,24,201,8
0,31/3/2017 9:00,1010,26,238,9
0,31/3/2017 10:00,1009,26,244,13
0,31/3/2017 11:00,1008,26,249,17
0,31/3/2017 12:00,1008,26,255,20
0,31/3/2017 13:00,1007,26,256,18
0,31/3/2017 14:00,1007,24,258,16
0,31/3/2017 15:00,1006,22,259,14
0,31/3/2017 16:00,1007,20,255,12
0,31/3/2017 17:00,1007,18,252,10
0,31/3/2017 18:00,1008,16,249,8
0,31/3/2017 19:00,1008,16,227,8
0,31/3/2017 20:00,1009,16,206,9
0,31/3/2017 21:00,1009,16,185,9
0,31/3/2017 22:00,1009,14,184,9
0,31/3/2017 23:00,1009,14,183,8
0,1/4/2017 0:00,1008,14,182,7
5,1/4/2017 1:00,1008,12,175,6
11,1/4/2017 2:00,1009,12,168,6
16,1/4/2017 3:00,1009,12,161,5
15,1/4/2017 4:00,1009,14,171,6
13,1/4/2017 5:00,1009,14,181,7
12,1/4/2017 6:00,1010,16,191,8
8,1/4/2017 7:00,1009,18,215,8
4,1/4/2017 8:00,1009,22,239,8
0,1/4/2017 9:00,1009,24,263,8
0,1/4/2017 10:00,1008,24,264,12
0,1/4/2017 11:00,1007,26,265,15
0,1/4/2017 12:00,1007,26,266,19
0,1/4/2017 13:00,1006,24,270,17
0,1/4/2017 14:00,1006,22,275,15
0,1/4/2017 15:00,1005,22,279,13
0,1/4/2017 16:00,1006,20,277,12
0,1/4/2017 17:00,1006,18,275,10
0,1/4/2017 18:00,1007,16,273,9
0,1/4/2017 19:00,1007,16,261,7
0,1/4/2017 20:00,1008,14,249,5
0,1/4/2017 21:00,1008,14,237,3
0,1/4/2017 22:00,1008,14,215,3
0,1/4/2017 23:00,1008,14,194,3
0,2/4/2017 0:00,1007,12,172,3
0,2/4/2017 1:00,1007,12,177,2
0,2/4/2017 2:00,1007,12,182,2
0,2/4/2017 3:00,1007,12,186,1
0,2/4/2017 4:00,1008,14,230,2
0,2/4/2017 5:00,1009,16,274,3
0,2/4/2017 6:00,1009,18,318,4
0,2/4/2017 7:00,1009,20,312,6
0,2/4/2017 8:00,1009,24,305,8
0,2/4/2017 9:00,1009,26,299,10
0,2/4/2017 10:00,1008,26,297,14
0,2/4/2017 11:00,1008,28,295,18
0,2/4/2017 12:00,1007,28,293,22
0,2/4/2017 13:00,1007,28,297,20
0,2/4/2017 14:00,1006,26,301,18
0,2/4/2017 15:00,1006,26,305,16
0,2/4/2017 16:00,1006,24,298,15
0,2/4/2017 17:00,1007,20,290,13
0,2/4/2017 18:00,1007,18,282,12
0,2/4/2017 19:00,1008,16,268,9
0,2/4/2017 20:00,1009,16,255,6
0,2/4/2017 21:00,1010,14,241,4
0,2/4/2017 22:00,1009,14,218,3
0,2/4/2017 23:00,1009,12,196,3
0,3/4/2017 0:00,1009,12,173,3
0,3/4/2017 1:00,1009,12,204,2
0,3/4/2017 2:00,1009,12,236,1
0,3/4/2017 3:00,1009,12,267,0
0,3/4/2017 4:00,1010,14,292,1
0,3/4/2017 5:00,1010,16,317,1
0,3/4/2017 6:00,1010,18,342,2
0,3/4/2017 7:00,1011,20,320,4
0,3/4/2017 8:00,1011,24,299,7
0,3/4/2017 9:00,1011,26,277,9
0,3/4/2017 10:00,1010,26,280,13
0,3/4/2017 11:00,1009,26,283,16
0,3/4/2017 12:00,1009,28,286,20
0,3/4/2017 13:00,1008,26,287,18
0,3/4/2017 14:00,1008,26,289,16
0,3/4/2017 15:00,1008,24,291,15
0,3/4/2017 16:00,1008,22,289,14
0,3/4/2017 17:00,1009,20,288,13
0,3/4/2017 18:00,1009,18,287,12
0,3/4/2017 19:00,1010,16,289,9
0,3/4/2017 20:00,1010,16,292,6
0,3/4/2017 21:00,1011,14,294,2
0,3/4/2017 22:00,1010,14,305,3
0,3/4/2017 23:00,1010,14,316,4
0,4/4/2017 0:00,1010,12,327,5
0,4/4/2017 1:00,1010,12,224,6
0,4/4/2017 2:00,1010,12,121,7
0,4/4/2017 3:00,1010,12,18,8
0,4/4/2017 4:00,1010,14,18,9
0,4/4/2017 5:00,1010,16,19,9
0,4/4/2017 6:00,1011,20,20,9
0,4/4/2017 7:00,1011,22,113,9
0,4/4/2017 8:00,1010,26,206,10
0,4/4/2017 9:00,1010,28,299,10
0,4/4/2017 10:00,1009,30,300,14
0,4/4/2017 11:00,1009,30,302,18
0,4/4/2017 12:00,1008,30,303,22
0,4/4/2017 13:00,1008,30,306,21
0,4/4/2017 14:00,1007,28,308,19
0,4/4/2017 15:00,1007,26,310,17
0,4/4/2017 16:00,1007,24,310,17
0,4/4/2017 17:00,1008,22,311,16
0,4/4/2017 18:00,1008,20,311,16
0,4/4/2017 19:00,1009,18,309,12
0,4/4/2017 20:00,1009,16,306,8
0,4/4/2017 21:00,1010,16,304,4
0,4/4/2017 22:00,1010,14,312,6
0,4/4/2017 23:00,1009,14,319,7
0,5/4/2017 0:00,1009,14,327,9
0,5/4/2017 1:00,1009,14,218,8
0,5/4/2017 2:00,1009,14,109,7
0,5/4/2017 3:00,1009,12,0,6
0,5/4/2017 4:00,1009,14,116,6
0,5/4/2017 5:00,1010,18,231,6
0,5/4/2017 6:00,1010,20,346,6
0,5/4/2017 7:00,1010,22,325,7
0,5/4/2017 8:00,1010,24,304,9
0,5/4/2017 9:00,1010,26,282,11
0,5/4/2017 10:00,1009,26,281,14
0,5/4/2017 11:00,1009,26,280,17
0,5/4/2017 12:00,1008,26,279,20
0,5/4/2017 13:00,1008,24,273,17
0,5/4/2017 14:00,1007,24,268,15
0,5/4/2017 15:00,1007,22,263,12
0,5/4/2017 16:00,1008,20,254,11
0,5/4/2017 17:00,1008,18,246,11
0,5/4/2017 18:00,1009,16,238,10
1,5/4/2017 19:00,1009,16,237,9
1,5/4/2017 20:00,1009,14,237,8
2,5/4/2017 21:00,1010,14,236,7
5,5/4/2017 22:00,1009,14,249,7
7,5/4/2017 23:00,1009,12,261,7
10,6/4/2017 0:00,1009,12,274,6
9,6/4/2017 1:00,1009,12,253,5
8,6/4/2017 2:00,1009,12,232,3
8,6/4/2017 3:00,1009,12,211,2
5,6/4/2017 4:00,1009,14,218,2
3,6/4/2017 5:00,1009,14,225,3
0,6/4/2017 6:00,1010,16,233,3
0,6/4/2017 7:00,1010,20,240,6
0,6/4/2017 8:00,1010,22,247,9
0,6/4/2017 9:00,1010,24,255,12
0,6/4/2017 10:00,1009,24,259,15
0,6/4/2017 11:00,1008,24,263,17
0,6/4/2017 12:00,1008,24,267,20
0,6/4/2017 13:00,1008,24,259,17
0,6/4/2017 14:00,1007,22,252,14
0,6/4/2017 15:00,1007,20,244,11
3,6/4/2017 16:00,1008,18,237,11
6,6/4/2017 17:00,1009,16,230,11
9,6/4/2017 18:00,1009,16,223,10
13,6/4/2017 19:00,1010,14,216,10
18,6/4/2017 20:00,1010,14,208,9
22,6/4/2017 21:00,1010,14,201,8
27,6/4/2017 22:00,1010,14,198,7
32,6/4/2017 23:00,1009,14,196,7
37,7/4/2017 0:00,1009,12,193,6
36,7/4/2017 1:00,1009,12,184,6
34,7/4/2017 2:00,1009,12,174,5
33,7/4/2017 3:00,1009,12,164,5
24,7/4/2017 4:00,1009,12,174,6
15,7/4/2017 5:00,1010,14,183,7
5,7/4/2017 6:00,1010,16,192,8
4,7/4/2017 7:00,1010,18,201,10
2,7/4/2017 8:00,1010,20,211,12
0,7/4/2017 9:00,1010,24,220,14
0,7/4/2017 10:00,1010,24,225,16
0,7/4/2017 11:00,1009,24,230,19
0,7/4/2017 12:00,1009,24,236,21
0,7/4/2017 13:00,1009,22,231,19
0,7/4/2017 14:00,1008,22,227,16
0,7/4/2017 15:00,1008,20,223,14
0,7/4/2017 16:00,1009,18,223,14
0,7/4/2017 17:00,1010,18,223,13
0,7/4/2017 18:00,1010,16,223,13
3,7/4/2017 19:00,1010,16,215,11
7,7/4/2017 20:00,1011,14,208,10
10,7/4/2017 21:00,1011,14,201,9
21,7/4/2017 22:00,1010,14,197,9
31,7/4/2017 23:00,1010,14,194,9
41,8/4/2017 0:00,1010,12,191,9
38,8/4/2017 1:00,1010,12,183,8
34,8/4/2017 2:00,1010,12,175,8
30,8/4/2017 3:00,1010,12,168,8
23,8/4/2017 4:00,1010,14,180,8
16,8/4/2017 5:00,1011,16,192,8
9,8/4/2017 6:00,1011,16,204,9
6,8/4/2017 7:00,1011,18,211,10
3,8/4/2017 8:00,1011,22,218,12
0,8/4/2017 9:00,1011,24,226,14
0,8/4/2017 10:00,1010,24,233,16
0,8/4/2017 11:00,1010,24,241,18
0,8/4/2017 12:00,1009,24,249,19
0,8/4/2017 13:00,1009,24,246,17
0,8/4/2017 14:00,1009,22,243,15
0,8/4/2017 15:00,1009,20,241,13
5,8/4/2017 16:00,1009,20,238,12
10,8/4/2017 17:00,1010,18,236,11
15,8/4/2017 18:00,1010,16,233,10
34,8/4/2017 19:00,1010,16,223,9
52,8/4/2017 20:00,1011,14,212,7
71,8/4/2017 21:00,1011,14,202,5
64,8/4/2017 22:00,1010,14,192,5
57,8/4/2017 23:00,1010,14,183,5
50,9/4/2017 0:00,1010,14,173,5
57,9/4/2017 1:00,1010,12,171,6
64,9/4/2017 2:00,1010,12,168,6
71,9/4/2017 3:00,1010,12,165,7
59,9/4/2017 4:00,1011,14,176,7
46,9/4/2017 5:00,1011,14,187,7
34,9/4/2017 6:00,1012,16,199,7
22,9/4/2017 7:00,1012,18,211,9
11,9/4/2017 8:00,1012,20,224,10
0,9/4/2017 9:00,1011,22,237,12
0,9/4/2017 10:00,1011,24,244,14
0,9/4/2017 11:00,1010,24,251,16
0,9/4/2017 12:00,1010,24,257,19
0,9/4/2017 13:00,1009,22,258,17
0,9/4/2017 14:00,1009,22,259,15
0,9/4/2017 15:00,1009,20,260,13
8,9/4/2017 16:00,1009,18,259,12
16,9/4/2017 17:00,1010,16,257,11
23,9/4/2017 18:00,1010,16,256,10
28,9/4/2017 19:00,1011,14,248,9
32,9/4/2017 20:00,1011,14,239,7
37,9/4/2017 21:00,1011,14,231,6
41,9/4/2017 22:00,1011,14,227,6
45,9/4/2017 23:00,1011,12,224,6
49,10/4/2017 0:00,1010,12,221,6
50,10/4/2017 1:00,1010,12,209,5
50,10/4/2017 2:00,1010,12,198,5
51,10/4/2017 3:00,1010,12,186,4
48,10/4/2017 4:00,1010,14,193,3
44,10/4/2017 5:00,1011,14,201,3
41,10/4/2017 6:00,1012,16,208,3
29,10/4/2017 7:00,1012,18,224,5
16,10/4/2017 8:00,1012,20,240,8
4,10/4/2017 9:00,1012,22,257,11
4,10/4/2017 10:00,1012,24,259,13
3,10/4/2017 11:00,1011,24,261,16
3,10/4/2017 12:00,1011,24,263,18
3,10/4/2017 13:00,1010,22,266,16
3,10/4/2017 14:00,1010,22,269,14
4,10/4/2017 15:00,1010,20,273,12
4,10/4/2017 16:00,1011,18,270,11
4,10/4/2017 17:00,1011,16,267,10
4,10/4/2017 18:00,1012,16,264,9
7,10/4/2017 19:00,1012,14,265,7
11,10/4/2017 20:00,1012,14,266,6
15,10/4/2017 21:00,1013,14,267,4
18,10/4/2017 22:00,1012,14,284,4
21,10/4/2017 23:00,1012,12,300,3
24,11/4/2017 0:00,1011,12,317,3
31,11/4/2017 1:00,1011,12,212,3
38,11/4/2017 2:00,1011,12,107,4
45,11/4/2017 3:00,1011,12,1,4
35,11/4/2017 4:00,1012,14,116,5
26,11/4/2017 5:00,1012,14,231,5
17,11/4/2017 6:00,1013,16,346,6
12,11/4/2017 7:00,1012,18,325,7
7,11/4/2017 8:00,1012,20,305,8
3,11/4/2017 9:00,1012,24,284,10
3,11/4/2017 10:00,1012,24,283,13
3,11/4/2017 11:00,1011,24,282,15
3,11/4/2017 12:00,1011,24,281,18
3,11/4/2017 13:00,1010,22,288,17
3,11/4/2017 14:00,1010,22,294,16
3,11/4/2017 15:00,1009,20,300,15
2,11/4/2017 16:00,1010,18,297,14
2,11/4/2017 17:00,1010,16,294,13
2,11/4/2017 18:00,1011,14,291,12
1,11/4/2017 19:00,1011,14,297,10
1,11/4/2017 20:00,1011,14,302,8
0,11/4/2017 21:00,1011,12,308,5
4,11/4/2017 22:00,1011,12,309,5
9,11/4/2017 23:00,1011,12,309,5
13,12/4/2017 0:00,1011,12,310,5
34,12/4/2017 1:00,1011,12,210,5
55,12/4/2017 2:00,1011,12,110,5
76,12/4/2017 3:00,1011,12,10,5
58,12/4/2017 4:00,1011,12,12,5
40,12/4/2017 5:00,1012,14,15,5
22,12/4/2017 6:00,1012,14,18,5
15,12/4/2017 7:00,1012,18,107,6
7,12/4/2017 8:00,1012,20,196,8
0,12/4/2017 9:00,1012,22,285,10
0,12/4/2017 10:00,1011,22,284,13
0,12/4/2017 11:00,1011,22,282,17
0,12/4/2017 12:00,1010,22,281,21
0,12/4/2017 13:00,1010,22,288,19
0,12/4/2017 14:00,1009,22,296,18
0,12/4/2017 15:00,1009,20,303,17
0,12/4/2017 16:00,1009,18,299,16
0,12/4/2017 17:00,1010,16,295,14
0,12/4/2017 18:00,1011,16,291,13
4,12/4/2017 19:00,1011,14,294,10
8,12/4/2017 20:00,1012,14,296,8
12,12/4/2017 21:00,1012,14,299,5
22,12/4/2017 22:00,1012,12,307,6
32,12/4/2017 23:00,1011,12,316,7
42,13/4/2017 0:00,1011,12,324,8
34,13/4/2017 1:00,1011,12,218,8
26,13/4/2017 2:00,1011,12,111,8
17,13/4/2017 3:00,1011,10,5,8
12,13/4/2017 4:00,1011,12,9,8
7,13/4/2017 5:00,1012,14,14,8
2,13/4/2017 6:00,1012,14,19,8
1,13/4/2017 7:00,1012,18,117,8
